S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,S_IS,S_SO4,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,X_hSRB,S_cation,S_anion,S_H_ion,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_HS_ion,S_co2,S_H2S,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2,S_gas_H2S,pH,t
0.04250860859826236,0.003359676492977017,0.11954596203640179,0.10084010879887474,0.16082332841684696,0.16524010181636078,1.1212254833703077,0.000177688832091453,0.001581496299005613,0.0,0.011220152451769367,0.3914270876315796,0.6054814319511949,0.002933356547637598,0.709925013616429,0.007106306086192368,0.007106306086192368,0.00018269088861806783,0.30510880293343534,0.8104355768814956,0.2803364311911694,0.28079976537614176,0.08386023526804796,0.5869759617307165,14.387467394343412,17.737314175263133,0.6464034662170908,1.0799999999999999e-47,0.0052101000000000005,4.036451565869555e-05,0.02569730813037453,0.04385862985931869,0.040679877467816275,0.33744049290919764,0.0,0.0013618987792294857,0.0,0.6041195331719654,1.5631223104765298e-07,0.01121999613953832,0.0018530804769841284,0.014081737632791198,0.0,6.277385270486764,4.394000254329279,9.824912456228114
0.04206984685097885,0.0033485362919508568,0.11954625601059798,0.10093059094801547,0.1609985189392235,0.16556339748538784,1.1220561221645458,0.0001771244233611766,0.0015901948966134578,0.0,0.011233491264356184,0.39178220933122865,0.6054814691308148,0.002933355966706037,0.7098514977287154,0.007105598745350108,0.007105598745350108,0.00018272810719525726,0.3051628078745462,0.810331186398656,0.28028136569364703,0.28075524993651324,0.08384430252379982,0.5868585205491091,14.384727264249356,17.738024418662434,0.6462741404032765,1.0799999999999999e-47,0.0052101000000000005,4.028678103877778e-05,0.025757329102739906,0.04396798908028556,0.0408187252745395,0.33814570065878113,0.0,0.001364514850810586,0.0,0.6041169542800042,1.5680002288912485e-07,0.011233334464333295,0.0018471040517695065,0.014159179893975768,0.0,6.2773431137555455,4.394837431865651,9.834917458729365
0.041638045396824315,0.003337450049473261,0.11954644839680174,0.10102063593543459,0.16117196004087375,0.16588504087642078,1.1228850639424337,0.00017656913518249102,0.001598934118562732,0.0,0.01124682657814682,0.39213729418885734,0.6054815064642028,0.002933355383371849,0.7097777194633024,0.007104888628911879,0.007104888628911879,0.0001827648465036695,0.305216098979222,0.8102268068139125,0.28022631751916277,0.2807108218554933,0.08382837882633488,0.5867411028707606,14.381988443475336,17.73873458837769,0.6461448404923209,1.0799999999999999e-47,0.0052101000000000005,4.020927481333575e-05,0.02581730194537449,0.0440769951777203,0.040957394230223515,0.33885095626047457,0.0,0.0013671332615254196,0.0,0.6041143732026775,1.5728875841611793e-07,0.011246669289388405,0.0018412225836481016,0.01423698318322295,0.0,6.27730039877774,4.395673759461293,9.844922461230615
0.04121311666545036,0.0033264177336020805,0.11954653930783596,0.10111024379285986,0.16134366307723239,0.1662050532519421,1.12371233973498,0.00017602293681202828,0.0016077139360186718,0.0,0.01126015832244889,0.3924923420735775,0.605481543951871,0.0029333547976270317,0.7097036802842519,0.007104175752041001,0.007104175752041001,0.00018280111165351024,0.30526868511851574,0.810122438105487,0.28017128665476354,0.2806664810385374,0.0838124641696654,0.5866237086909944,14.379250935290695,17.73944468414713,0.6460155664791326,1.0799999999999999e-47,0.0052101000000000005,4.013199799912039e-05,0.025877225209219725,0.04418564761149943,0.04109588624635246,0.3395562548787711,0.0,0.0013697539458173231,0.0,0.6041117900060538,1.577784297641048e-07,0.011260000544019126,0.0018354357947373196,0.014315147236984573,0.0,6.27725712682995,4.39650921807846,9.854927463731865
0.040794973136348854,0.003315439309697552,0.11954652887307404,0.10119941461117664,0.16151363952971415,0.16652345585402062,1.1245379804198128,0.00017548579415027187,0.0016165343157978076,0.0,0.011273486426724549,0.39284735285523237,0.6054815815943296,0.002933354209463615,0.709629381650712,0.007103460129848647,0.007103460129848647,0.00018283690777503485,0.305320575156876,0.8100180802519427,0.2801162730865352,0.2806222273797879,0.0837965585469766,0.5865063380051346,14.376514742961128,17.74015470571044,0.6458863183586205,1.0799999999999999e-47,0.0052101000000000005,4.005495159555735e-05,0.025937097457134024,0.04429394588772472,0.0412342032478779,0.34026159165736286,0.0,0.0013723768378737194,0.0,0.6041092047564559,1.5826902899657566e-07,0.011273328157695552,0.0018297433711177654,0.014393671753025784,0.0,6.277213299334165,4.397343788750723,9.864932466233116
0.040383527373401396,0.003304514740313597,0.11954641723819596,0.10128814853972054,0.16168190099979624,0.166840269896016,1.1253620167104212,0.00017495766984437062,0.0016253952203876753,0.0,0.011286810820612007,0.3932023264043937,0.605481619392087,0.002933353618873656,0.7095548250169362,0.007102741777394142,0.007102741777394142,0.00018287224001616153,0.305371777948693,0.8099137332321918,0.28006127679961723,0.2805780607622336,0.08378066195063792,0.5863889908085065,14.3737798697483,17.740864652808764,0.6457570961256947,1.0799999999999999e-47,0.0052101000000000005,3.9978136584037485e-05,0.025996917264306918,0.04440188955824893,0.04137234717198697,0.3409669617212083,0.0,0.0013750018716567928,0.0,0.6041066175204302,1.5876054810874559e-07,0.011286652060063898,0.001824144963859322,0.014472556390599117,0.0,6.277168917854172,4.398177452592343,9.874937468734366
0.039978692058684234,0.0032936439850966472,0.11954620456493198,0.10137644578552528,0.16184845920308927,0.16715551655446959,1.1261844791457685,0.00017443852338536482,0.001634296607968919,0.0,0.011300131433946488,0.39355726259235957,0.6054816573456494,0.0029333530258492443,0.7094800118323034,0.007102020709685248,0.007102020709685248,0.00018290711354011657,0.30542230233492,0.8098093970255044,0.2800062977782187,0.28053398105787825,0.08376477437221476,0.5862716670964359,14.371046318909487,17.741574525184696,0.6456278997752652,1.0799999999999999e-47,0.0052101000000000005,3.9901553927242274e-05,0.026056683218652787,0.04450947822017066,0.041510319966887886,0.3416723601785807,0.0,0.0013776289809336857,0.0,0.6041040283647158,1.5925297903122844e-07,0.011299972180967456,0.0018186401900840783,0.014551800770637228,0.0,6.2771239840919035,4.399010190807349,9.884942471235618
0.03958038002551686,0.003282827000691823,0.11954589103079451,0.10146430661252492,0.16201332596339732,0.16746921696118455,1.1270053980802852,0.00017392831121142957,0.0016432384324377995,0.0,0.01131344819678064,0.3939121612911518,0.605481695455521,0.002933352430382501,0.7094049435413344,0.007101296941678438,0.007101296941678438,0.00018294153352311297,0.305472157139771,0.809705071611514,0.2799513360056346,0.28048998812791726,0.08374889580248081,0.5861543668642496,14.368314093697192,17.742284322582282,0.6454987293022435,1.0799999999999999e-47,0.0052101000000000005,3.982520456850423e-05,0.026116393921183072,0.04461671151529678,0.041648123590612623,0.34237778212309183,0.0,0.0013802580993061617,0.0,0.6041014373562148,1.5974631363367054e-07,0.011313288450467007,0.0018132286339820028,0.01463140447595412,0.0,6.277078499883886,4.399841984698347,9.894947473736869
0.039188504290742124,0.003272063740656282,0.1195454768287988,0.10155173134071459,0.1621765132067773,0.1677813921954984,1.127824803674238,0.00017342698680894314,0.0016522206434313655,0.0,0.011326761039404406,0.39426702237351374,0.6054817337222038,0.002933351832465582,0.7093296215837104,0.007100570488279168,0.007100570488279168,0.0001829755051520637,0.30552135116749574,0.809600756970225,0.2798963914642625,0.28044608182292263,0.08373302623143111,0.5860370901072754,14.365583197358786,17.742994044747007,0.6453695847015413,1.0799999999999999e-47,0.0052101000000000005,3.9749089431201236e-05,0.026176047986358027,0.04472358912957562,0.04178576000983795,0.3430832226356906,0.0,0.0013828891602397444,0.0,0.604098844561964,1.602405437283455e-07,0.011326600798860678,0.0018079098478767785,0.014711367051464658,0.0,6.27703246719752,4.400672815675038,9.904952476238119
0.038802978086229366,0.0032613541553795956,0.11954496216717296,0.10163872034527008,0.16233803295560054,0.1680920632767489,1.128642725884473,0.00017293450081401252,0.001661243186353986,0.0,0.011340069892364323,0.39462184571290776,0.6054817721461978,0.0029333512320906755,0.7092540473942884,0.0070998413643421285,0.0070998413643421285,0.00018300903362233073,0.3055698931992335,0.8094964530820185,0.27984146413562044,0.2804022619830344,0.08371716564829562,0.5859198368208419,14.362853633136133,17.743703691425797,0.6452404659680706,1.0799999999999999e-47,0.0052101000000000005,3.967320941818467e-05,0.026235644042417572,0.0448301107925005,0.04192323119872476,0.3437886767866362,0.0,0.0013855220970923159,0.0,0.6040962500491055,1.6073566107370545e-07,0.011339909156703248,0.0018026833532772955,0.01479168800441879,0.0,6.276985888127423,4.401502665262472,9.91495747873937
