p_value,correlation,rmse,r
0.00805471459861679,0.9257976027295686,30410024665.855736,5323.751557767811
0.007942679175571251,0.9263220646630552,30588394249.4213,5749.464908374725
0.008722971252624175,0.9227404645819126,27129272320.165447,5604.294887665608
0.00919284110449856,0.9206586707791328,26368172089.097424,4870.860415980489
0.011561612386882364,0.9108723157688898,22525748833.31216,3928.6678450346894
0.00897947083153044,0.9215974512162928,26885149646.03251,5022.257531940557
0.008646808797092273,0.9230829973026192,27657914323.434696,5417.772802742446
0.009062767903743827,0.9212296864746446,26378596801.33022,5269.74491345
0.009338599815671294,0.9200234415913908,25414772793.83077,5346.854140407594
0.008751413843667556,0.9226129202342156,27158134567.91364,5507.083842875144
0.010168289686627472,0.9164958086437024,23993157497.584885,4855.566419982401
0.00835174489797731,0.9244240818007314,28998215377.330524,5274.287849047011
0.008240048823610575,0.9249377503162524,29179773411.9351,5617.68899521911
0.014073607046581971,0.9015068774803016,18758926273.145042,4849.563472752947
0.010498002491078986,0.9151329412452875,23177437230.67847,4958.696642229095
0.010037680215163,0.9170416005820881,22899168634.46184,5542.22885149873
0.00895126861390319,0.9217223422722876,25785604897.27605,5849.521446550166
0.008995018636833928,0.9215286806527272,26853503897.546925,4998.1190763270315
0.00925164286488205,0.9204018228496916,24812366401.05011,5780.616889115841
0.009565278726601371,0.9190450490588876,23303071117.990444,5839.623679204752
0.007996819487617095,0.9260681755048212,30324282941.629562,5701.583954526734
0.011917297760340959,0.9094902341824608,21493239744.16101,5079.992607466542
0.009714815559019737,0.9184057715872548,25188766933.54156,4686.069122925041
0.009444105817978615,0.919566637627575,25675928851.514458,4888.2379850736625
0.009161951074814248,0.9207939192715712,26179488703.799625,5170.656402346432
0.008151540343820006,0.9253471950706372,29430929437.345436,5783.954254963385
0.010045424000786255,0.917009145038158,23491862934.557117,5335.892548131148
0.009844217920029876,0.9178564157587938,24721847342.159904,4861.293518586157
0.013699492891450327,0.9028472378240244,20391226513.13175,4034.9012835896333
0.009605790049173168,0.9188713847136648,25462734006.33029,4661.661871701578
0.009746126496790405,0.918272522108812,24803181120.729885,4988.4755493967605
0.0082861741363816,0.9247252207309888,29055894909.962387,5429.369265742187
0.009368220331006188,0.9198949431397424,25535274644.439663,5200.540294280461
0.008255926851507786,0.9248645246191728,28361372707.12245,6123.782860316443
0.008284990358928226,0.9247306679605324,29043927587.7104,5408.918473117826
0.009866407924724369,0.9177625647382148,23877865743.73541,5375.693611182385
0.008505148762189774,0.9237240251849644,27562891582.353355,5899.141204710988
0.00977580707658375,0.9181464026689694,25154909573.513298,4446.013269612006
0.009081009528022549,0.9211493675094972,26612869981.43306,4979.039658611287
0.008643485465183889,0.923097976987528,27655735960.727413,5430.907257888593
0.010712679314850294,0.9142567092009868,22873759619.4516,4883.958178968758
0.007874064589094091,0.9266450445004152,31264048295.935436,5508.328909794087
0.009386290413047308,0.9198166492015708,26023492275.38292,4613.031641075223
0.010924963236582793,0.9133985750116268,22925305761.6441,4551.456453502129
0.008597458903207629,0.923305727293697,27481286832.785427,5707.390260799877
0.009319375232232002,0.9201069468416004,25487304917.14344,5335.668393402165
0.008305318049756838,0.9246371812907466,29908766804.219604,4138.114300080268
0.008539158924765004,0.9235696544064124,28114041867.943485,5384.435664515435
0.00879961749543135,0.9223972213429668,25854142054.546616,6059.2790085509
0.008462750752031577,0.9239168892536221,29084118338.24632,4487.173557744057
0.011735454435433564,0.9101942877404674,21725218765.75676,4520.36070571754
0.01047171822451423,0.9152408186298135,22977324186.216675,5102.674404523181
0.009041090013137857,0.9213252377721384,26344910145.96669,5352.621081683996
0.0101475824288952,0.9165821124380747,22931740355.2829,5439.6078851466555
0.009359271880091323,0.9199337420925152,25500241558.307117,5243.564197175626
0.008903844749594539,0.9219327867966718,27012691193.835518,5154.138199465115
0.009638992356085958,0.9187293177608424,25307186295.243443,4755.678999300134
0.010001286720633922,0.9171942950054314,24417740918.56302,4813.751311923349
0.008421031156069101,0.9241071267392184,28064822107.17258,5830.763300371403
0.008481362655730419,0.9238321679168524,28322758448.718517,5409.446494588486
0.009462013220931572,0.9194893514063822,25861458494.34246,4609.309088138456
