S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,S_IS,S_SO4,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,X_hSRB,S_cation,S_anion,S_H_ion,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_HS_ion,S_co2,S_H2S,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2,S_gas_H2S,pH
0.2146287250153609,0.05879689132386192,0.0600050769341335,0.04690456205556963,0.06005851944399958,0.04275990534488182,0.0811242400632437,5.1767896168449556e-05,0.03862311326361882,-2.1123254109854455,1.0431684252427822e-06,0.23192328047158314,0.19377056694877567,-0.006320095975034292,0.46835790524667803,0.004681313679774689,0.004681313679774689,0.00010136628297308423,0.1687622267125118,0.4964707557713322,0.17452605636947255,0.1739116150383707,0.0521803800849267,0.35334868486732707,10.05368578349714,10.870483090691279,0.3373435329373365,6.629032981367687e-48,0.003197955994094809,9.872454605291377e-15,0.046904562022023664,0.06005851940482541,0.04275990531285882,0.08112424001715698,-2.1123253687461783,0.09998639390483426,-4.223926719504334e-08,0.09378417304394142,1.0431591496729767e-06,9.275569805497689e-12,0.0013435780702807658,0.7866847335146124,0.0029538822613345427,2.6055790640599437,14.005574854523987
0.21542380284859974,0.05886614770381258,0.05991251514195819,0.047142013245637125,0.06037740873160133,0.042904535991772616,0.08142857669889048,5.253803636540653e-05,0.039499578146111325,-2.110173968827847,1.0431727800301041e-06,0.23237256798004252,0.18826783346803677,-0.006357887228214646,0.46745280325885463,0.004672362341942131,0.004672362341942131,0.00010110972479353031,0.16833542639825388,0.4951647108223506,0.1740200170761054,0.17341003506397176,0.052029206361148404,0.3523440230648718,10.032192299842322,10.849510946920688,0.33538755271832504,6.615101321916127e-48,0.0031912351293810516,9.882199515053802e-15,0.047142013211888066,0.060377408692180286,0.042904535959609594,0.08142857665258521,-2.1101739265899497,0.09378416288184938,-4.223789717983095e-08,0.0944836705861874,1.0431634952658841e-06,9.284764220026401e-12,0.0013867721449190246,0.8190509454925695,0.0029736684976737625,2.518405738045973,14.005146382240547
0.21621449130131745,0.0589368264818615,0.059820144560229424,0.04737812080020706,0.06069466899457727,0.04304837128577583,0.08173035546501277,5.275628360417671e-05,0.03964428740454719,-2.1080235608109277,1.041612346408144e-06,0.2328190974854429,0.18275262671716852,-0.006395630716738645,0.466545868976049,0.0046633903705222725,0.0046633903705222725,0.0001008538904222558,0.16790977687567646,0.49386204266379735,0.17351544026390575,0.17290987289856002,0.05187846788794523,0.3513422377760504,10.01074717426337,10.82857925092285,0.3334350319954711,6.601198941416055e-48,0.003184528389321475,9.892364690548583e-15,0.04737812076625408,0.060694668954908326,0.043048371253471794,0.08173035541848807,-2.108023518572671,0.09448366033776945,-4.223825689209093e-08,0.08826896637939907,1.0416030659963095e-06,9.280411834612317e-12,0.0014015287926029735,0.8225436577638198,0.002971736798766886,2.521349414060731,14.004699881375302
0.2169999655166549,0.059006652363285436,0.05972791030922496,0.047613169588720756,0.061010635185292574,0.04319175810989404,0.08203053815874421,5.3591450810375747e-05,0.04060060162467495,-2.1058622776091744,1.041558745113502e-06,0.2332628712063285,0.17723218908145535,-0.006433440340731586,0.46563719266973236,0.004654398722337157,0.004654398722337157,0.000100598775484451,0.1674853573778527,0.49256292256950746,0.17301232497370023,0.17241115464408413,0.05172816578957879,0.35034334756519436,9.989350914989577,10.807687910536801,0.33148724696119053,6.587325778334457e-48,0.0031778357442315266,9.902194282636514e-15,0.047613169554565425,0.061010635145377495,0.043191758077450196,0.08203053811200224,-2.1058622353722956,0.08826895679556167,-4.2236878883272766e-08,0.08896323228589369,1.041549455958271e-06,9.289155230989913e-12,0.001448385500111971,0.8577981435708648,0.0029889818043099983,2.4301622682665203,14.004268556993706
0.2177811496206248,0.059078014750189624,0.05963586923865414,0.04784686745588197,0.06132496038063253,0.043334318949589785,0.08232812423082174,5.383654320690414e-05,0.04077526001938687,-2.1037024370544146,1.039894645520275e-06,0.23370389153642768,0.17169940570364822,-0.006471205509239733,0.4647268629710542,0.0046453883330915,0.0046453883330915,0.00010034437526469412,0.16706207228660697,0.49126714869428034,0.1725106635548968,0.17191384351341435,0.051578296267484475,0.3493473140295876,9.968002632676082,10.786836834154952,0.32954292029572385,6.573481771267637e-48,0.003171157164489041,9.912444558981479e-15,0.04784686742152346,0.06132496034047028,0.04333431891700516,0.08232812418386165,-2.1037023948171787,0.08896322261667734,-4.2237235930997485e-08,0.08273618308697088,1.039885361606099e-06,9.283914176088777e-12,0.0014647413124530076,0.8620767017943124,0.0029882121141581357,2.4324937168842684,14.00381922870796
0.21855719419090472,0.05914857881814779,0.05954396534998841,0.04807950533318896,0.0616379863527089,0.04347641137980517,0.08262410263132594,5.47445796198332e-05,0.04182129948976914,-2.101531442740721,1.0397813224863093e-06,0.23414216103842997,0.1661617571398216,-0.006509044025156816,0.46381496587590854,0.004636360114618665,0.004636360114618665,0.00010009068541442647,0.1666400033921433,0.4899748972019271,0.17201045513994564,0.17141796666877143,0.051428860518221466,0.3483541565778185,9.94670284276055,10.766025930710216,0.327603370493268,6.559666858940945e-48,0.0031644926205341064,9.922359003676818e-15,0.04807950529862886,0.061637986312301274,0.04347641134708101,0.08262410258414989,-2.101531400504871,0.08273617408556447,-4.2235849928573543e-08,0.08342558305425712,1.03977203029916e-06,9.292187149425709e-12,0.0015156892795054576,0.9005835207608811,0.003005910576209175,2.3369157330994326,14.003385063684108
0.21932904909413858,0.0592207931715849,0.05945225663989082,0.04831078575309642,0.061949360420397524,0.04361764721605565,0.08291744573239361,5.501992660869095e-05,0.042030077910157,-2.099362017185683,1.0380113005362783e-06,0.23457768244105703,0.16061185885801324,-0.006546841257031316,0.46290158585015767,0.004627314958676622,0.004627314958676622,9.983770124078476e-05,0.16621905260065364,0.4886859616366205,0.17151169203386538,0.170923486255097,0.05127985468306119,0.3473638360672586,9.92545065792128,10.745255109669733,0.3256672722210776,6.545880980208507e-48,0.0031578420828689336,9.93269591245279e-15,0.0483107857183339,0.06194936037974346,0.04361764718319097,0.08291744568500074,-2.099361974949478,0.0834255739683908,-4.2236204755852214e-08,0.07718628488962244,1.0380020145033954e-06,9.28603288289315e-12,0.0015338228545292265,0.905755328132062,0.0030051708146356655,2.338524888955461,14.002932860165568
0.22009583963066975,0.059292261823413114,0.05936068596645892,0.048541005821354254,0.06225943127686932,0.04375839503837704,0.08320917043282669,5.6009359897999036e-05,0.04317700122228033,-2.0971813759004982,1.0378373403957638e-06,0.23501045863300749,0.15505743969618682,-0.0065847190661578285,0.46198680480268406,0.004618253734089987,0.004618253734089987,9.958541842828757e-05,0.16579930432662957,0.48740052317916244,0.1710143734620639,0.17043043052982024,0.0511312800323482,0.3463763727710648,9.904246600369298,10.724524281022338,0.3237359880874055,6.532124074052958e-48,0.0031512055220577276,9.942695694963408e-15,0.04854100578639091,0.06225943123597064,0.04375839500537312,0.08320917038521919,-2.097181333665688,0.07718627647481392,-4.2234810315733284e-08,0.0778711632213729,1.0378280465720241e-06,9.293823739687823e-12,0.0015893290143676774,0.9479222185580444,0.003024835605560876,2.238126037950966,14.002495852350396
0.22085854124568774,0.05936549220556096,0.05926931244580287,0.04876986287040774,0.06256784065046923,0.04389825599645181,0.08349822203297334,5.631853754252564e-05,0.043424554425430015,-2.0950021860939514,1.035960501657731e-06,0.23544049266027328,0.14949084199591506,-0.006622558722096427,0.4610707032196432,0.0046091772906104575,0.0046091772906104575,9.93338323190276e-05,0.16538065801286225,0.4861183707894687,0.17051849168668046,0.16993876056304708,0.050983132647987164,0.3453917268127211,9.883089786007856,10.703833355272756,0.3218081441448109,6.518396079585165e-48,0.0031445829087265557,9.953120915558604e-15,0.048769862835242726,0.06256784060932485,0.043898255963307674,0.08349822198515038,-2.095002143858789,0.07787115472299783,-4.2235162478476695e-08,0.07161968727291723,1.0359512149139163e-06,9.28674381458644e-12,0.0016094250444004244,0.9541046664178963,0.0030222226615074545,2.2388986067100167,14.002040719869017
0.22161625352628841,0.05943802629317561,0.05917807778624346,0.048997660191524246,0.06287494413541311,0.04403760987726182,0.08378564586616252,5.739836765586513e-05,0.04468497200745237,-2.0928117144409972,1.035725872461573e-06,0.23586778772024425,0.1439200510328661,-0.006660486266151125,0.46015335910486077,0.004600086455956542,0.004600086455956542,9.908293864403337e-05,0.16496320073781082,0.48483969073175803,0.17002404602632393,0.1694485057332916,0.05083541387479022,0.3444099193413203,9.8619807430909,10.683182243429396,0.31988514857711103,6.504696936043957e-48,0.003137974213563218,9.96320771048936e-15,0.048997660156159174,0.06287494409402489,0.04403760984397878,0.08378564581812631,-2.092811672207237,0.07161967944886831,-4.223376004475199e-08,0.07230037158399778,1.0357165784118112e-06,9.29404976174771e-12,0.001669984470896102,1.0003818633214336,0.0030419990770494056,2.133182643945367,14.001600815523663
